Rank,Event,Type,Start,End,City,State,Category,Rating
61,USA Science & Engineering Festival,Exhibition,25 Apr 2020,26 Apr 2020,Washington,DC,"Science & Research|Education & Training",5.0
62,QUANTUM CONSCIOUSNESS IN DISCLOSURE,Conference,19 Mar 2021,21 Mar 2021,Las Vegas,NV,"Science & Research",0
63,Interdisciplinary Plant Group Symposium,Conference,24 May 2021,26 May 2021,Columbia,MD,"Science & Research|Environment & Waste",4.0
64,Advanced Manufacturing Expo,Exhibition,27 Jul 2021,27 Jul 2021,Novi,MI,"Industrial Engineering|Science & Research",4.0
65,International Criminology Conference,Conference,05 Nov 2021,05 Nov 2021,Washington,DC,"Science & Research",4.3
66,MRS Fall Meeting & Exhibit,Exhibition,28 Nov 2021,03 Dec 2021,Boston,MA,"Industrial Engineering|Science & Research",0
67,Leadership And Management Skills For Women,Exhibition,19 Jun 2020,19 Jun 2020,Phoenix,AZ,"Science & Research|Education & Training",2.0
68,"International Conference on Nanoscience, Nanotechnology & Advanced Materials",Conference,23 Mar 2021,24 Mar 2021,Miami,FL,"Science & Research",0
69,Annual Forensic Psychology Symposium,Conference,18 Mar 2021,20 Mar 2021,San Diego,CA,"Medical & PharmaScience & Research",4.5
70,Worship Together Conference,Conference,27 Jun 2021,29 Jun 2021,Franklin,TN,"Science & Research|Education & Training",0
71,Carolina Christian Youth Conference,Conference,12 Feb 2021,14 Feb 2021,Winston-Salem,NC,"Science & Research|Education & Training",4.3
72,Minnesota Water Resources Conference,Conference,13 Oct 2020,14 Oct 2020,Saint Paul,MN,"Science & Research|Environment & Waste",5.0
73,SupplySide East,Exhibition,22 Jun 2021,23 Jun 2021,Secaucus,NJ,"Science & Research|Wellness, Health & Fitness",4.5
74,"International Conference on Nanoscience, Nanotechnology & Advanced Materials",Conference,16 Aug 2021,17 Aug 2021,Boston,MA,"Science & Research|IT & Technology",4.0
75,"Out of Chicago,IL Conference",Conference,23 Aug 2020,27 Aug 2020,Glencoe,IL,"Science & Research|Education & Training",0
76,"Conference on Language, Learning, and Culture",Conference,10 Apr 2020,11 Apr 2020,Fairfax,VA,"Science & Research|Education & Training",0
77,Great Lakes Astrology Conference,Conference,25 Jun 2021,27 Jun 2021,Ann Arbor,MI,"Science & Research|Education & Training",0
78,International Refining and Petrochemical Conference Americas,Conference,22 Sep 2020,23 Sep 2020,Houston,TX,"Science & Research|Power & Energy",3.0
79,International Conference on Opioids,Conference,12 Jun 2021,15 Jun 2021,Boston,MA,"Medical & Pharma|Science & Research",3.0
80,One Marriage Conference,Conference,25 Feb 2022,26 Feb 2022,Gainesville,TX,"Science & Research|Education & Training",5.0
81,Internet of Things Applications,Conference,18 Nov 2020,19 Nov 2020,Santa Clara,CA,"Science & Research|IT & Technology",0
82,Student Conference on Conservation Science,Conference,24 Mar 2020,26 Mar 2020,Cambridge,MA,"Science & Research|Education & Training",5.0
83,Magnetics,Conference,08 Feb 2022,09 Feb 2022,Orlando,FL,"Science & Research|IT & Technology",4.5
84,Open Data Science Conference,Conference,29 Oct 2020,30 Oct 2020,Burlingame,CA,"Science & Research|IT & Technology",4.0
85,Traditional Roots Herbal Conference,Conference,15 May 2020,17 May 2020,Portland,OR,"Medical & Pharma|Science & Research",0
86,International Conference on Engineering and Natural Science,Conference,22 Apr 2021,23 Apr 2021,Chicago,IL,"Industrial Engineering|Science & Research",0
87,International Conference On Mechanical And Aerospace Engineering,Conference,23 Apr 2021,24 Apr 2021,Miami,FL,"Industrial Engineering|Science & Research",5.0
88,International School Of Hydrocarbon Measurement Conference & Expo,Exhibition,11 May 2021,13 May 2021,Oklahoma,PA,"Industrial Engineering|Science & Research",4.0
89,Symposium on Worship,Conference,28 Jan 2021,30 Jan 2021,Grand Rapids,MI,"Science & Research",0
91,Specialty & Custom Chemicals Show,Exhibition,14 Apr 2021,16 Apr 2021,Fort Worth,TX,"Science & Research",5.0
92,Peptalk,Conference,18 Jan 2021,22 Jan 2021,San Diego,CA,"Science & Research",4.0
93,"International Conference on Science, Engineering & Technology",Conference,22 Jul 2021,23 Jul 2021,Chicago,IL,"Science & Research|IT & Technology",0
94,Future of Individualized Medicine,Conference,12 Mar 2020,13 Mar 2020,San Diego,CA,"Medical & Pharma|Science & Research",5.0
95,International Conference on Social Science & Humanities,Conference,26 Jun 2021,27 Jun 2021,Las Vegas,NV,"Science & Research|Education & Training",2.0
96,Cleveland National Air Show,Exhibition,04 Sep 2021,06 Sep 2021,Cleveland,OH,"Science & Research",0
97,Laserfiche Empower,Conference,23 Feb 2021,26 Feb 2021,Long Beach,CA,"Electric & Electronics|Science & Research",4.1
98,"International Conference on Peace, Humanitarian Aid and Service",Conference,15 Dec 2020,16 Dec 2020,Miami,FL,"Science & Research",4.0
99,Advanced Manufacturing Expo,Exhibition,29 Jul 2021,29 Jul 2021,Grand Rapids,MI,"Industrial Engineering|Science & Research",4.0
100,International Conference On Science Technology And Management,Conference,16 Sep 2021,17 Sep 2021,Boston,MA,"Science & Research|IT & Technology",4.0
